t,V
3.46,0.0158
4.58,0.0264
5.67,0.0326
6.64,0.0445
7.63,0.0646
8.41,0.0933
9.32,0.1454
10.27,0.2183
11.19,0.2842
12.39,0.4977
13.42,0.6033
15.19,0.8441
16.24,1.2163
17.23,1.4470
18.18,2.3298
19.29,2.5342
21.23,3.0064
21.99,3.4044
24.33,3.2046
25.58,4.5241
26.43,4.3459
27.44,5.1374
28.43,5.5376
30.49,4.8946
31.34,5.0660
32.34,6.1494
33.00,6.8548
35.20,5.9668
36.34,6.6945
37.29,6.6395
38.50,6.8971
39.67,7.2966
41.37,7.2268
42.58,6.8815
45.39,8.0993
46.38,7.2112
48.29,7.0694
49.24,7.4971
50.19,6.9974
51.14,6.7219
52.10,7.0523
54.00,7.1095
56.33,7.0694
57.33,8.0562
59.38,7.2268
